yourlist:M20170315A7434721E10EE6586998A056CCD0537E8CA63EG	isomap:M20170315A7434721E10EE6586998A056CCD0537E8CA63EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (OrthoDB)
102468565		Q9JLT4	TRXR2_MOUSE	reviewed	Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Thioredoxin reductase TR3)	Txnrd2 Trxr2	Mus musculus (Mouse)	524	EOG093709ND;
111038118		Q61425	HCDH_MOUSE	reviewed	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	Hadh Hadhsc Mschad Schad	Mus musculus (Mouse)	314	EOG09040EWT;
116268115		Q9JLZ3	AUHM_MOUSE	reviewed	Methylglutaconyl-CoA hydratase, mitochondrial (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding enoyl-CoA hydratase) (muAUH)	Auh	Mus musculus (Mouse)	314	
13385942		Q9CZU6	CISY_MOUSE	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Cs	Mus musculus (Mouse)	464	EOG0907053U;
162138915		P52825	CPT2_MOUSE	reviewed	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	Cpt2 Cpt-2	Mus musculus (Mouse)	658	EOG090B03TN;
162461907		P38647	GRP75_MOUSE	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT)	Hspa9 Grp75 Hsp74 Hspa9a	Mus musculus (Mouse)	679	EOG090B03I1;
170172520		P53395	ODB2_MOUSE	reviewed	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	Dbt	Mus musculus (Mouse)	482	EOG090B05AM;
18079339		Q99KI0	ACON_MOUSE	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	Aco2	Mus musculus (Mouse)	780	EOG090B02GE;
18152793		Q9D051	ODPB_MOUSE	reviewed	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)	Pdhb	Mus musculus (Mouse)	359	EOG090B07WG;
18250284		Q9D6R2	IDH3A_MOUSE	reviewed	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	Idh3a	Mus musculus (Mouse)	366	EOG090B08WL;
183396771		P63038	CH60_MOUSE	reviewed	60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (HSP-65) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)	Hspd1 Hsp60	Mus musculus (Mouse)	573	EOG090B04MX;
188035915		Q9DBF1	AL7A1_MOUSE	reviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)	Aldh7a1 Ald7a1	Mus musculus (Mouse)	539	EOG090B04VM;
20070412		Q9DB20	ATPO_MOUSE	reviewed	ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)	Atp5o D12Wsu28e	Mus musculus (Mouse)	213	EOG09040JR9;
21313536		Q9D2G2	ODO2_MOUSE	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	Dlst	Mus musculus (Mouse)	454	EOG090B07ID;
21313679		Q9DCX2	ATP5H_MOUSE	reviewed	ATP synthase subunit d, mitochondrial (ATPase subunit d)	Atp5h	Mus musculus (Mouse)	161	EOG09040KZX;
21450129		Q8QZT1	THIL_MOUSE	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	Acat1	Mus musculus (Mouse)	424	EOG090B07VU;
21699068		Q8K411	PREP_MOUSE	reviewed	Presequence protease, mitochondrial (EC 3.4.24.-) (Pitrilysin metalloproteinase 1)	Pitrm1 Kiaa1104 Ntup1	Mus musculus (Mouse)	1036	EOG091G0108;
21704100		Q99JY0	ECHB_MOUSE	reviewed	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	Hadhb	Mus musculus (Mouse)	475	EOG090705BQ;
21704140		Q99L13	3HIDH_MOUSE	reviewed	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	Hibadh	Mus musculus (Mouse)	335	EOG090B08TW;
225543103		Q8CHT0	AL4A1_MOUSE	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	Aldh4a1	Mus musculus (Mouse)	562	EOG090B048P;
225579033		P54071	IDHP_MOUSE	reviewed	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Idh2	Mus musculus (Mouse)	452	EOG090705NQ;
226823367		P97807	FUMH_MOUSE	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2) (EF-3)	Fh Fh1	Mus musculus (Mouse)	507	EOG0907059Z;
227500281		Q99LC5	ETFA_MOUSE	reviewed	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	Etfa	Mus musculus (Mouse)	333	EOG09040FRG;
238624114		Q9QYR9	ACOT2_MOUSE	reviewed	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl coenzyme A thioester hydrolase) (MTE-I) (Very-long-chain acyl-CoA thioesterase)	Acot2 Mte1	Mus musculus (Mouse)	453	EOG090B07L9;
254540162		Q91ZA3	PCCA_MOUSE	reviewed	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	Pcca	Mus musculus (Mouse)	724	EOG0937089Q;
255708423		P04247	MYG_MOUSE	reviewed	Myoglobin	Mb	Mus musculus (Mouse)	154	EOG09040L9G;
256220343		Q99LB2	DHRS4_MOUSE	reviewed	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase) (CR) (PHCR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (mouNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD)	Dhrs4 D14Ucla2	Mus musculus (Mouse)	279	EOG09040JEL;
257796245		Q8BMF4	ODP2_MOUSE	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	Dlat	Mus musculus (Mouse)	642	EOG0907053X;
29126205		Q8BWT1	THIM_MOUSE	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)	Acaa2	Mus musculus (Mouse)	397	EOG090B07MO;
31980648		P56480	ATPB_MOUSE	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)	Atp5b	Mus musculus (Mouse)	529	EOG090705KV;
31980744		Q9CPQ8	ATP5L_MOUSE	reviewed	ATP synthase subunit g, mitochondrial (ATPase subunit g)	Atp5l	Mus musculus (Mouse)	103	EOG09040MNW;
31980762		P09671	SODM_MOUSE	reviewed	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	Sod2 Sod-2	Mus musculus (Mouse)	222	EOG09040IP4;
31981810		P42125	ECI1_MOUSE	reviewed	Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)	Eci1 Dci	Mus musculus (Mouse)	289	EOG09040H3U;
31982186		P08249	MDHM_MOUSE	reviewed	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	Mdh2 Mor1	Mus musculus (Mouse)	338	EOG090B08UU;
31982300		P02088	HBB1_MOUSE	reviewed	Hemoglobin subunit beta-1 (Beta-1-globin) (Hemoglobin beta-1 chain) (Hemoglobin beta-major chain)	Hbb-b1	Mus musculus (Mouse)	147	
31982520		P51174	ACADL_MOUSE	reviewed	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	Acadl	Mus musculus (Mouse)	430	
31982522		Q07417	ACADS_MOUSE	reviewed	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	Acads	Mus musculus (Mouse)	412	EOG090B07PK;
31982856		O08749	DLDH_MOUSE	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)	Dld	Mus musculus (Mouse)	509	EOG090B04U2;
33859811		Q8BMS1	ECHA_MOUSE	reviewed	Trifunctional enzyme subunit alpha, mitochondrial (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	Hadha	Mus musculus (Mouse)	763	EOG090B0386;
38142460		Q9DCW4	ETFB_MOUSE	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	Etfb	Mus musculus (Mouse)	255	EOG09040I18;
54607098		Q8K2B3	SDHA_MOUSE	reviewed	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)	Sdha	Mus musculus (Mouse)	664	EOG090B03CP;
6679261		P35486	ODPA_MOUSE	reviewed	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	Pdha1 Pdha-1	Mus musculus (Mouse)	390	EOG090B07DU;
6680027		P26443	DHE3_MOUSE	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	Glud1 Glud	Mus musculus (Mouse)	558	EOG090B04HD;
6680618		P45952	ACADM_MOUSE	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	Acadm	Mus musculus (Mouse)	421	EOG090B074J;
6680690		P20108	PRDX3_MOUSE	reviewed	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (PRX III) (Perioredoxin-3) (Protein MER5)	Prdx3 Aop1 Mer5	Mus musculus (Mouse)	257	EOG09040GL0;
6681095		P62897	CYC_MOUSE	reviewed	Cytochrome c, somatic	Cycs	Mus musculus (Mouse)	105	EOG09040MEW;
6753810		P11404	FABPH_MOUSE	reviewed	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI)	Fabp3 Fabph1	Mus musculus (Mouse)	133	EOG09040LRD;
6754036		P05202	AATM_MOUSE	reviewed	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Got2 Got-2	Mus musculus (Mouse)	430	EOG090B0675;
6755114		P99029	PRDX5_MOUSE	reviewed	Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 2D-0014IV) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (Thioredoxin peroxidase PMP20) (Thioredoxin reductase)	Prdx5 Prdx6	Mus musculus (Mouse)	210	
85662408		P47934	CACP_MOUSE	reviewed	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)	Crat	Mus musculus (Mouse)	626	EOG090B03ZT;
9789985		Q9JHI5	IVD_MOUSE	reviewed	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)	Ivd	Mus musculus (Mouse)	424	EOG090B06UY;
