Protein IDs	%iBAQ	Unique peptides	Unique + razor sequence coverage [%]
P68104;Q5VTE0;Q5JR01;A6PW80	6.333808	20	66.5
P68371	2.546583	1	67.2
F5H5D3;Q9BQE3;F8VVB9;F8VQQ4;F8VS66;F8VRZ4;F8VWV9;F8VX09;Q9H853;F8VRK0;C9K0S6;F8W0F6;F8VXB8;F8VYI2;F8VS94;F8VXZ7	2.252746	2	56.3
P26641;B4DTG2;E7EMT2	1.795667	32	72.1
B5MDF5;P62826;J3KQE5;F5H018;H0YFC6;B4DV51	1.763019	18	49.8
P63173;J3QL01;J3KT73;J3KSP2	1.763019	7	52.9
P04406;E7EUT4;E7EUT5;O14556	1.545906	26	91.9
P60866;P60866-2;E5RJX2;E5RIP1;G3XAN0	1.519788	8	58.8
P46783;F6U211;Q9NQ39	1.201465	15	75.2
P62244;I3L3P7;I3L246;I3L303;H3BT37;H3BV27;H3BVC7	1.162287	6	81.5
P62701;Q8TD47;P22090;C9JEH7;A6NH36;C9JQ55	1.062709	20	63.9
P04083;Q5T3N1;Q5T3N0	1.017001	32	75.4
P14618;P14618-3	1.005574	4	78.3
Q6FI13;Q16777;REV__Q8NB25;REV__Q8NB25-3;REV__Q8NB25-2;REV__Q8NB25-4;REV__H7BY63;REV__E7EQ67;REV__H0Y672;A8MQC5	0.9859846	1	63.1
Q06830;P32119	0.9647631	19	79.4
P35268;K7ERI7;K7EMH1;K7ELC4;K7EKS7;K7EP65;K7EJT5;H0Y8C2;Q6P5R6;C9JYQ9	0.8978337	7	59.4
P61978-3;P61978-2;P61978;Q5T6W5;Q5T6W2;Q5T6W1	0.8896716	27	56.4
P62263;E5RH77;H0YB22	0.8455961	9	41.1
P62269;J3JS69	0.8309042	17	57.9
P09429;Q5T7C6;Q5T7C4;B2RPK0;Q5T7C0;P23497	0.7933585	11	52.1
P08238;Q58FF7;Q5T9W8;H0Y6E4;H0Y5S7;H0Y598	0.7884612	29	65.3
O43809;H3BND3;H3BV41	0.7525479	19	76.7
P07355-2;P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YKS4;H0YNP5;H0YL33;H0YN28;H0YMM1;H0YMW4;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YKL9;H0YNA0;H0YKV8;H0YN52;H0YMD9;H0YKN4;H0YNB8;H0YLE2	0.737856	33	72.8
P39019;M0R140;M0QYF7;M0QXK4;M0R2L9	0.718267	16	69
P15311;E7EQR4;E9PNP4	0.6774563	43	70.5
P62987;P0CG48;F5H041;F5H7K6;Q96C32;P0CG47;J3QKN0;F5GXK7;F5H747;P62979;F5H388;B4DV12;F5H7Y5;F5H265;M0R2S1;F5H2Z3;F5GYU3;F5H6Q2;J3QTR3;J3QS39;J3QRK5;J3QLP7;M0R1M6;F5H4D8;M0R1V7;F5GZ39;K7EMA8;J3QSA3;J3KSM4	0.6758239	6	44.5
P63104;E7EX29;B0AZS6;E7EX24;H0YB80;B7Z2E6;E7ESK7;E7EVZ2;E9PD24;E5RIR4;E5RGE1	0.6660293	15	86.5
P32969;H0Y9V9;D6RAN4;E7ESE0;H0Y9R4	0.6643969	15	75.5
P62277;J3KMX5;E9PS50	0.6513375	11	51
Q99988	0.6284836	22	60.1
P61247;D6RG13;H0Y9Y4;E9PFI5;F5H4F9;D6RAT0;D6RB09;H0Y8L7;D6R9B6;D6RAS7;D6RI02;D6RED7;D6RGE0	0.6186891	21	59.1
P62805	0.6154242	12	61.2
P23396;J3KN86;E9PL09;E9PL45;E9PPU1;H0YEU2;H0YCJ7;F2Z2S8;H0YF32;E9PK82;E9PJH4;E9PQ96;E9PSF4;E9PQX2;H0YES8;E9PJN9	0.6137918	25	84.4
P06733;P06733-2;K7EM90;K7EN23;K7EQF3;P13929;P13929-2;P13929-3;E5RGZ4;K7EKN2;K7EPM1;E5RG95;E5RI09	0.6088945	24	57.8
P62081;B5MCP9	0.5909378	15	54.1
P62913;Q5VVC8;Q5VVC9	0.5844081	1	68
E9PK25;P23528;G3V1A4;E9PP50;E9PQB7;E9PS23;E9PLJ3	0.5419651	17	69.1
P09211;A8MX94	0.5125814	13	61
P13639;M0R0I6	0.4913599	55	65
Q14103;Q14103-3;H0Y8G5;D6RAF8;D6RD83	0.4848302	3	43.7
P60842;P60842-2;J3KT12;J3QS69;J3QL43;J3KTB5;J3KSZ0;J3QR64;J3KS25;J3QLN6;J3KTN0;J3QKZ9;B4E102;J3KS93;J3QL52	0.4815654	14	63.1
P07437;Q5JP53;Q5ST81;E9PBJ4	0.4799329	5	19.6
P46782;M0R0F0;M0R0R2;M0QZN2	0.4766681	16	72.1
P62937;C9J5S7;F8WE65;Q567Q0;F5H284;Q9Y536;A2BFH1;E5RIZ5	0.4717708	12	59.4
P63241-2;P63241;I3L504;I3L397;Q6IS14;Q9GZV4;C9J4W5;C9J7B5;F8WCJ1	0.4636087	14	60.3
P62249;M0R210;M0R3H0;M0R1M5;Q6IPX4;M0QX76	0.4407547	16	73.3
P62829;J3KT29;C9JD32;J3KTJ3;B9ZVP7;J3QQT9	0.4195332	11	70.7
P11142;E9PKE3;E9PNE6;P11142-2;A8K7Q2;E9PN89;E9PS65;E9PLF4;E9PK54;E9PQK7;E9PQQ4;E9PM13;E9PPY6;E9PN25;E9PI65;E9PSH5	0.4097387	33	69.7
